model,prompt,dedektor,arac,ai,humanized,fark_puan,aciklama
Kumru,2,ZeroGPT,Aithor,0.0,0.0,0.0,OLCULEMEZ - taban etkisi
Kumru,2,ZeroGPT,Rephraser,0.0,0.0,0.0,OLCULEMEZ - taban etkisi
Kumru,3,GPTZero,Aithor,0.99,0.78,-21.0,
Kumru,3,GPTZero,Rephraser,0.99,0.97,-2.0,
Kumru,3,ZeroGPT,Aithor,1.0,1.0,0.0,
Kumru,3,ZeroGPT,Rephraser,1.0,1.0,0.0,
Kumru,4,GPTZero,Aithor,0.99,0.96,-3.0,
Kumru,4,GPTZero,Rephraser,0.99,0.11,-88.0,
Kumru,4,ZeroGPT,Aithor,0.131,0.0,-13.1,
Kumru,4,ZeroGPT,Rephraser,0.131,0.848,71.7,
Kumru,5,GPTZero,Aithor,0.99,0.99,0.0,
Kumru,5,GPTZero,Rephraser,0.99,0.68,-31.0,
Kumru,5,ZeroGPT,Aithor,1.0,1.0,0.0,
Kumru,5,ZeroGPT,Rephraser,1.0,1.0,0.0,
