text_id,label,model,prompt_id,humanizer,dil_modeli,birincil,perplexity,token_sayisi,kirpildi,esik,score,binary_label
T058,ai,Kumru,5,,ytu-ce-cosmos/turkish-gpt2,evet,26.532,143,hayir,,,
T059,humanized,Kumru,5,Aithor,ytu-ce-cosmos/turkish-gpt2,evet,31.069,139,hayir,,,
T060,humanized,Kumru,5,Rephraser,ytu-ce-cosmos/turkish-gpt2,evet,26.933,150,hayir,,,
T001,ai,ChatGPT,1,,ytu-ce-cosmos/turkish-gpt2-large,hayir,10.235,146,hayir,,,
T002,humanized,ChatGPT,1,Aithor,ytu-ce-cosmos/turkish-gpt2-large,hayir,13.262,139,hayir,,,
T003,humanized,ChatGPT,1,Rephraser,ytu-ce-cosmos/turkish-gpt2-large,hayir,62.437,133,hayir,,,
T004,ai,ChatGPT,2,,ytu-ce-cosmos/turkish-gpt2-large,hayir,13.329,146,hayir,,,
T005,humanized,ChatGPT,2,Rephraser,ytu-ce-cosmos/turkish-gpt2-large,hayir,23.69,142,hayir,,,
T006,humanized,ChatGPT,2,Aithor,ytu-ce-cosmos/turkish-gpt2-large,hayir,22.3,166,hayir,,,
T007,ai,ChatGPT,3,,ytu-ce-cosmos/turkish-gpt2-large,hayir,17.799,131,hayir,,,
T008,humanized,ChatGPT,3,Aithor,ytu-ce-cosmos/turkish-gpt2-large,hayir,17.95,128,hayir,,,
T009,humanized,ChatGPT,3,Rephraser,ytu-ce-cosmos/turkish-gpt2-large,hayir,16.966,138,hayir,,,
T010,ai,ChatGPT,4,,ytu-ce-cosmos/turkish-gpt2-large,hayir,17.163,150,hayir,,,
T011,humanized,ChatGPT,4,Aithor,ytu-ce-cosmos/turkish-gpt2-large,hayir,22.635,142,hayir,,,
T012,humanized,ChatGPT,4,Rephraser,ytu-ce-cosmos/turkish-gpt2-large,hayir,17.958,153,hayir,,,
T013,ai,ChatGPT,5,,ytu-ce-cosmos/turkish-gpt2-large,hayir,19.619,135,hayir,,,
T014,humanized,ChatGPT,5,Aithor,ytu-ce-cosmos/turkish-gpt2-large,hayir,23.84,153,hayir,,,
T015,humanized,ChatGPT,5,Rephraser,ytu-ce-cosmos/turkish-gpt2-large,hayir,22.09,139,hayir,,,
T016,ai,Gemini,1,,ytu-ce-cosmos/turkish-gpt2-large,hayir,18.508,137,hayir,,,
T017,humanized,Gemini,1,Aithor,ytu-ce-cosmos/turkish-gpt2-large,hayir,18.596,137,hayir,,,
T018,humanized,Gemini,1,Rephraser,ytu-ce-cosmos/turkish-gpt2-large,hayir,17.252,133,hayir,,,
T019,ai,Gemini,2,,ytu-ce-cosmos/turkish-gpt2-large,hayir,23.978,155,hayir,,,
T020,humanized,Gemini,2,Aithor,ytu-ce-cosmos/turkish-gpt2-large,hayir,26.848,147,hayir,,,
T021,humanized,Gemini,2,Rephraser,ytu-ce-cosmos/turkish-gpt2-large,hayir,24.848,160,hayir,,,
T022,ai,Gemini,3,,ytu-ce-cosmos/turkish-gpt2-large,hayir,21.497,145,hayir,,,
T023,humanized,Gemini,3,Aithor,ytu-ce-cosmos/turkish-gpt2-large,hayir,25.464,137,hayir,,,
T024,humanized,Gemini,3,Rephraser,ytu-ce-cosmos/turkish-gpt2-large,hayir,22.436,143,hayir,,,
T025,ai,Gemini,4,,ytu-ce-cosmos/turkish-gpt2-large,hayir,28.468,138,hayir,,,
T026,humanized,Gemini,4,Aithor,ytu-ce-cosmos/turkish-gpt2-large,hayir,26.706,138,hayir,,,
T027,humanized,Gemini,4,Rephraser,ytu-ce-cosmos/turkish-gpt2-large,hayir,39.713,130,hayir,,,
T028,ai,Gemini,5,,ytu-ce-cosmos/turkish-gpt2-large,hayir,28.341,137,hayir,,,
T029,humanized,Gemini,5,Aithor,ytu-ce-cosmos/turkish-gpt2-large,hayir,35.566,131,hayir,,,
T030,humanized,Gemini,5,Rephraser,ytu-ce-cosmos/turkish-gpt2-large,hayir,27.396,132,hayir,,,
T031,ai,Claude,1,,ytu-ce-cosmos/turkish-gpt2-large,hayir,9.369,144,hayir,,,
T032,humanized,Claude,1,Aithor,ytu-ce-cosmos/turkish-gpt2-large,hayir,9.369,144,hayir,,,
T033,humanized,Claude,1,Rephraser,ytu-ce-cosmos/turkish-gpt2-large,hayir,12.623,148,hayir,,,
T034,ai,Claude,2,,ytu-ce-cosmos/turkish-gpt2-large,hayir,16.564,159,hayir,,,
T035,humanized,Claude,2,Rephraser,ytu-ce-cosmos/turkish-gpt2-large,hayir,25.434,163,hayir,,,
T036,humanized,Claude,2,Aithor,ytu-ce-cosmos/turkish-gpt2-large,hayir,17.298,164,hayir,,,
T037,ai,Claude,3,,ytu-ce-cosmos/turkish-gpt2-large,hayir,31.617,147,hayir,,,
T038,humanized,Claude,3,Aithor,ytu-ce-cosmos/turkish-gpt2-large,hayir,40.736,136,hayir,,,
T039,humanized,Claude,3,Rephraser,ytu-ce-cosmos/turkish-gpt2-large,hayir,31.428,160,hayir,,,
T040,ai,Claude,4,,ytu-ce-cosmos/turkish-gpt2-large,hayir,25.198,143,hayir,,,
T041,humanized,Claude,4,Aithor,ytu-ce-cosmos/turkish-gpt2-large,hayir,25.198,143,hayir,,,
T042,humanized,Claude,4,Rephraser,ytu-ce-cosmos/turkish-gpt2-large,hayir,30.896,150,hayir,,,
T043,ai,Claude,5,,ytu-ce-cosmos/turkish-gpt2-large,hayir,30.546,146,hayir,,,
T044,humanized,Claude,5,Aithor,ytu-ce-cosmos/turkish-gpt2-large,hayir,30.546,146,hayir,,,
T045,humanized,Claude,5,Rephraser,ytu-ce-cosmos/turkish-gpt2-large,hayir,38.739,161,hayir,,,
T046,ai,Kumru,1,,ytu-ce-cosmos/turkish-gpt2-large,hayir,8.477,138,hayir,,,
T047,ai,Kumru,2,,ytu-ce-cosmos/turkish-gpt2-large,hayir,13.521,135,hayir,,,
T048,humanized,Kumru,1,Aithor,ytu-ce-cosmos/turkish-gpt2-large,hayir,9.375,147,hayir,,,
T049,humanized,Kumru,1,Rephraser,ytu-ce-cosmos/turkish-gpt2-large,hayir,9.952,154,hayir,,,
T050,humanized,Kumru,2,Aithor,ytu-ce-cosmos/turkish-gpt2-large,hayir,13.275,135,hayir,,,
T051,humanized,Kumru,2,Rephraser,ytu-ce-cosmos/turkish-gpt2-large,hayir,19.067,150,hayir,,,
T052,ai,Kumru,3,,ytu-ce-cosmos/turkish-gpt2-large,hayir,16.681,136,hayir,,,
T053,humanized,Kumru,3,Aithor,ytu-ce-cosmos/turkish-gpt2-large,hayir,26.317,122,hayir,,,
T054,humanized,Kumru,3,Rephraser,ytu-ce-cosmos/turkish-gpt2-large,hayir,21.872,133,hayir,,,
T055,ai,Kumru,4,,ytu-ce-cosmos/turkish-gpt2-large,hayir,11.821,147,hayir,,,
T056,humanized,Kumru,4,Aithor,ytu-ce-cosmos/turkish-gpt2-large,hayir,12.401,145,hayir,,,
T057,humanized,Kumru,4,Rephraser,ytu-ce-cosmos/turkish-gpt2-large,hayir,19.457,157,hayir,,,
T058,ai,Kumru,5,,ytu-ce-cosmos/turkish-gpt2-large,hayir,17.961,143,hayir,,,
T059,humanized,Kumru,5,Aithor,ytu-ce-cosmos/turkish-gpt2-large,hayir,21.276,139,hayir,,,
T060,humanized,Kumru,5,Rephraser,ytu-ce-cosmos/turkish-gpt2-large,hayir,17.541,150,hayir,,,
T001,ai,ChatGPT,1,,redrussianarmy/gpt2-turkish-cased,hayir,23.568,146,hayir,,,
T002,humanized,ChatGPT,1,Aithor,redrussianarmy/gpt2-turkish-cased,hayir,33.05,138,hayir,,,
T003,humanized,ChatGPT,1,Rephraser,redrussianarmy/gpt2-turkish-cased,hayir,111.686,133,hayir,,,
T004,ai,ChatGPT,2,,redrussianarmy/gpt2-turkish-cased,hayir,48.636,147,hayir,,,
T005,humanized,ChatGPT,2,Rephraser,redrussianarmy/gpt2-turkish-cased,hayir,85.458,140,hayir,,,
T006,humanized,ChatGPT,2,Aithor,redrussianarmy/gpt2-turkish-cased,hayir,122.603,168,hayir,,,
T007,ai,ChatGPT,3,,redrussianarmy/gpt2-turkish-cased,hayir,45.138,132,hayir,,,
T008,humanized,ChatGPT,3,Aithor,redrussianarmy/gpt2-turkish-cased,hayir,44.401,128,hayir,,,
T009,humanized,ChatGPT,3,Rephraser,redrussianarmy/gpt2-turkish-cased,hayir,43.077,139,hayir,,,
T010,ai,ChatGPT,4,,redrussianarmy/gpt2-turkish-cased,hayir,65.389,149,hayir,,,
T011,humanized,ChatGPT,4,Aithor,redrussianarmy/gpt2-turkish-cased,hayir,108.908,142,hayir,,,
T012,humanized,ChatGPT,4,Rephraser,redrussianarmy/gpt2-turkish-cased,hayir,70.301,152,hayir,,,
T013,ai,ChatGPT,5,,redrussianarmy/gpt2-turkish-cased,hayir,52.664,136,hayir,,,
T014,humanized,ChatGPT,5,Aithor,redrussianarmy/gpt2-turkish-cased,hayir,82.15,154,hayir,,,
T015,humanized,ChatGPT,5,Rephraser,redrussianarmy/gpt2-turkish-cased,hayir,66.606,139,hayir,,,
T016,ai,Gemini,1,,redrussianarmy/gpt2-turkish-cased,hayir,40.642,137,hayir,,,
T017,humanized,Gemini,1,Aithor,redrussianarmy/gpt2-turkish-cased,hayir,40.101,137,hayir,,,
T018,humanized,Gemini,1,Rephraser,redrussianarmy/gpt2-turkish-cased,hayir,33.465,132,hayir,,,
T019,ai,Gemini,2,,redrussianarmy/gpt2-turkish-cased,hayir,90.689,154,hayir,,,
T020,humanized,Gemini,2,Aithor,redrussianarmy/gpt2-turkish-cased,hayir,86.496,146,hayir,,,
T021,humanized,Gemini,2,Rephraser,redrussianarmy/gpt2-turkish-cased,hayir,97.501,160,hayir,,,
T022,ai,Gemini,3,,redrussianarmy/gpt2-turkish-cased,hayir,76.661,146,hayir,,,
T023,humanized,Gemini,3,Aithor,redrussianarmy/gpt2-turkish-cased,hayir,97.639,138,hayir,,,
T024,humanized,Gemini,3,Rephraser,redrussianarmy/gpt2-turkish-cased,hayir,75.075,145,hayir,,,
T025,ai,Gemini,4,,redrussianarmy/gpt2-turkish-cased,hayir,109.359,137,hayir,,,
T026,humanized,Gemini,4,Aithor,redrussianarmy/gpt2-turkish-cased,hayir,104.782,137,hayir,,,
T027,humanized,Gemini,4,Rephraser,redrussianarmy/gpt2-turkish-cased,hayir,106.02,131,hayir,,,
T028,ai,Gemini,5,,redrussianarmy/gpt2-turkish-cased,hayir,81.657,141,hayir,,,
T029,humanized,Gemini,5,Aithor,redrussianarmy/gpt2-turkish-cased,hayir,104.714,135,hayir,,,
T030,humanized,Gemini,5,Rephraser,redrussianarmy/gpt2-turkish-cased,hayir,78.845,133,hayir,,,
T031,ai,Claude,1,,redrussianarmy/gpt2-turkish-cased,hayir,39.63,143,hayir,,,
T032,humanized,Claude,1,Aithor,redrussianarmy/gpt2-turkish-cased,hayir,39.63,143,hayir,,,
T033,humanized,Claude,1,Rephraser,redrussianarmy/gpt2-turkish-cased,hayir,40.195,148,hayir,,,
T034,ai,Claude,2,,redrussianarmy/gpt2-turkish-cased,hayir,73.492,158,hayir,,,
T035,humanized,Claude,2,Rephraser,redrussianarmy/gpt2-turkish-cased,hayir,99.799,164,hayir,,,
T036,humanized,Claude,2,Aithor,redrussianarmy/gpt2-turkish-cased,hayir,82.178,163,hayir,,,
T037,ai,Claude,3,,redrussianarmy/gpt2-turkish-cased,hayir,120.194,146,hayir,,,
T038,humanized,Claude,3,Aithor,redrussianarmy/gpt2-turkish-cased,hayir,112.636,136,hayir,,,
T039,humanized,Claude,3,Rephraser,redrussianarmy/gpt2-turkish-cased,hayir,114.956,158,hayir,,,
T040,ai,Claude,4,,redrussianarmy/gpt2-turkish-cased,hayir,103.698,142,hayir,,,
T041,humanized,Claude,4,Aithor,redrussianarmy/gpt2-turkish-cased,hayir,103.698,142,hayir,,,
T042,humanized,Claude,4,Rephraser,redrussianarmy/gpt2-turkish-cased,hayir,100.752,148,hayir,,,
T043,ai,Claude,5,,redrussianarmy/gpt2-turkish-cased,hayir,123.39,145,hayir,,,
T044,humanized,Claude,5,Aithor,redrussianarmy/gpt2-turkish-cased,hayir,123.39,145,hayir,,,
T045,humanized,Claude,5,Rephraser,redrussianarmy/gpt2-turkish-cased,hayir,149.036,161,hayir,,,
T046,ai,Kumru,1,,redrussianarmy/gpt2-turkish-cased,hayir,26.508,138,hayir,,,
T047,ai,Kumru,2,,redrussianarmy/gpt2-turkish-cased,hayir,70.481,136,hayir,,,
T048,humanized,Kumru,1,Aithor,redrussianarmy/gpt2-turkish-cased,hayir,30.661,147,hayir,,,
T049,humanized,Kumru,1,Rephraser,redrussianarmy/gpt2-turkish-cased,hayir,24.441,154,hayir,,,
T050,humanized,Kumru,2,Aithor,redrussianarmy/gpt2-turkish-cased,hayir,70.304,136,hayir,,,
T051,humanized,Kumru,2,Rephraser,redrussianarmy/gpt2-turkish-cased,hayir,94.482,149,hayir,,,
T052,ai,Kumru,3,,redrussianarmy/gpt2-turkish-cased,hayir,66.874,134,hayir,,,
T053,humanized,Kumru,3,Aithor,redrussianarmy/gpt2-turkish-cased,hayir,84.821,124,hayir,,,
T054,humanized,Kumru,3,Rephraser,redrussianarmy/gpt2-turkish-cased,hayir,78.309,135,hayir,,,
T055,ai,Kumru,4,,redrussianarmy/gpt2-turkish-cased,hayir,45.244,146,hayir,,,
T056,humanized,Kumru,4,Aithor,redrussianarmy/gpt2-turkish-cased,hayir,46.86,144,hayir,,,
T057,humanized,Kumru,4,Rephraser,redrussianarmy/gpt2-turkish-cased,hayir,55.774,156,hayir,,,
T058,ai,Kumru,5,,redrussianarmy/gpt2-turkish-cased,hayir,61.52,145,hayir,,,
T059,humanized,Kumru,5,Aithor,redrussianarmy/gpt2-turkish-cased,hayir,69.056,141,hayir,,,
T060,humanized,Kumru,5,Rephraser,redrussianarmy/gpt2-turkish-cased,hayir,72.529,151,hayir,,,
